"","dateRep","day","month","year","cases","deaths","country","popData2019","continentExp"
"276","01/03/2020",1,3,2020,0,0,"Afghanistan",38041757,"Asia"
"277","29/02/2020",29,2,2020,0,0,"Afghanistan",38041757,"Asia"
"278","28/02/2020",28,2,2020,0,0,"Afghanistan",38041757,"Asia"
"279","27/02/2020",27,2,2020,0,0,"Afghanistan",38041757,"Asia"
"280","26/02/2020",26,2,2020,0,0,"Afghanistan",38041757,"Asia"
"281","25/02/2020",25,2,2020,1,0,"Afghanistan",38041757,"Asia"
"282","24/02/2020",24,2,2020,0,0,"Afghanistan",38041757,"Asia"
"283","23/02/2020",23,2,2020,0,0,"Afghanistan",38041757,"Asia"
"284","22/02/2020",22,2,2020,0,0,"Afghanistan",38041757,"Asia"
"285","21/02/2020",21,2,2020,0,0,"Afghanistan",38041757,"Asia"
"286","20/02/2020",20,2,2020,0,0,"Afghanistan",38041757,"Asia"
"287","19/02/2020",19,2,2020,0,0,"Afghanistan",38041757,"Asia"
"288","18/02/2020",18,2,2020,0,0,"Afghanistan",38041757,"Asia"
"289","17/02/2020",17,2,2020,0,0,"Afghanistan",38041757,"Asia"
"290","16/02/2020",16,2,2020,0,0,"Afghanistan",38041757,"Asia"
"291","15/02/2020",15,2,2020,0,0,"Afghanistan",38041757,"Asia"
"292","14/02/2020",14,2,2020,0,0,"Afghanistan",38041757,"Asia"
"293","13/02/2020",13,2,2020,0,0,"Afghanistan",38041757,"Asia"
"294","12/02/2020",12,2,2020,0,0,"Afghanistan",38041757,"Asia"
"295","11/02/2020",11,2,2020,0,0,"Afghanistan",38041757,"Asia"
"296","10/02/2020",10,2,2020,0,0,"Afghanistan",38041757,"Asia"
"297","09/02/2020",9,2,2020,0,0,"Afghanistan",38041757,"Asia"
"298","08/02/2020",8,2,2020,0,0,"Afghanistan",38041757,"Asia"
"299","07/02/2020",7,2,2020,0,0,"Afghanistan",38041757,"Asia"
"300","06/02/2020",6,2,2020,0,0,"Afghanistan",38041757,"Asia"
"301","05/02/2020",5,2,2020,0,0,"Afghanistan",38041757,"Asia"
"302","04/02/2020",4,2,2020,0,0,"Afghanistan",38041757,"Asia"
"303","03/02/2020",3,2,2020,0,0,"Afghanistan",38041757,"Asia"
"304","02/02/2020",2,2,2020,0,0,"Afghanistan",38041757,"Asia"
"305","01/02/2020",1,2,2020,0,0,"Afghanistan",38041757,"Asia"
"306","31/01/2020",31,1,2020,0,0,"Afghanistan",38041757,"Asia"
"307","30/01/2020",30,1,2020,0,0,"Afghanistan",38041757,"Asia"
"308","29/01/2020",29,1,2020,0,0,"Afghanistan",38041757,"Asia"
"309","28/01/2020",28,1,2020,0,0,"Afghanistan",38041757,"Asia"
"310","27/01/2020",27,1,2020,0,0,"Afghanistan",38041757,"Asia"
"311","26/01/2020",26,1,2020,0,0,"Afghanistan",38041757,"Asia"
"312","25/01/2020",25,1,2020,0,0,"Afghanistan",38041757,"Asia"
"313","24/01/2020",24,1,2020,0,0,"Afghanistan",38041757,"Asia"
"314","23/01/2020",23,1,2020,0,0,"Afghanistan",38041757,"Asia"
"315","22/01/2020",22,1,2020,0,0,"Afghanistan",38041757,"Asia"
"316","21/01/2020",21,1,2020,0,0,"Afghanistan",38041757,"Asia"
"317","20/01/2020",20,1,2020,0,0,"Afghanistan",38041757,"Asia"
"318","19/01/2020",19,1,2020,0,0,"Afghanistan",38041757,"Asia"
"319","18/01/2020",18,1,2020,0,0,"Afghanistan",38041757,"Asia"
"320","17/01/2020",17,1,2020,0,0,"Afghanistan",38041757,"Asia"
"321","16/01/2020",16,1,2020,0,0,"Afghanistan",38041757,"Asia"
"322","15/01/2020",15,1,2020,0,0,"Afghanistan",38041757,"Asia"
"323","14/01/2020",14,1,2020,0,0,"Afghanistan",38041757,"Asia"
"324","13/01/2020",13,1,2020,0,0,"Afghanistan",38041757,"Asia"
"325","12/01/2020",12,1,2020,0,0,"Afghanistan",38041757,"Asia"
"326","11/01/2020",11,1,2020,0,0,"Afghanistan",38041757,"Asia"
"327","10/01/2020",10,1,2020,0,0,"Afghanistan",38041757,"Asia"
"328","09/01/2020",9,1,2020,0,0,"Afghanistan",38041757,"Asia"
"329","08/01/2020",8,1,2020,0,0,"Afghanistan",38041757,"Asia"
"330","07/01/2020",7,1,2020,0,0,"Afghanistan",38041757,"Asia"
"331","06/01/2020",6,1,2020,0,0,"Afghanistan",38041757,"Asia"
"332","05/01/2020",5,1,2020,0,0,"Afghanistan",38041757,"Asia"
"333","04/01/2020",4,1,2020,0,0,"Afghanistan",38041757,"Asia"
"334","03/01/2020",3,1,2020,0,0,"Afghanistan",38041757,"Asia"
"335","02/01/2020",2,1,2020,0,0,"Afghanistan",38041757,"Asia"
"336","01/01/2020",1,1,2020,0,0,"Afghanistan",38041757,"Asia"
"337","31/12/2019",31,12,2019,0,0,"Afghanistan",38041757,"Asia"
"338","11/12/2020",11,12,2020,873,14,"Albania",2862427,"Europe"
"339","10/12/2020",10,12,2020,752,15,"Albania",2862427,"Europe"
"340","09/12/2020",9,12,2020,753,14,"Albania",2862427,"Europe"
"341","08/12/2020",8,12,2020,695,17,"Albania",2862427,"Europe"
"342","07/12/2020",7,12,2020,840,16,"Albania",2862427,"Europe"
"343","06/12/2020",6,12,2020,846,19,"Albania",2862427,"Europe"
"344","05/12/2020",5,12,2020,801,18,"Albania",2862427,"Europe"
"345","04/12/2020",4,12,2020,782,13,"Albania",2862427,"Europe"
"346","03/12/2020",3,12,2020,705,17,"Albania",2862427,"Europe"
"347","02/12/2020",2,12,2020,832,12,"Albania",2862427,"Europe"
"348","01/12/2020",1,12,2020,557,12,"Albania",2862427,"Europe"
"349","30/11/2020",30,11,2020,835,11,"Albania",2862427,"Europe"
"350","29/11/2020",29,11,2020,545,16,"Albania",2862427,"Europe"
"351","28/11/2020",28,11,2020,645,18,"Albania",2862427,"Europe"
"352","27/11/2020",27,11,2020,656,10,"Albania",2862427,"Europe"
"353","26/11/2020",26,11,2020,644,8,"Albania",2862427,"Europe"
"354","25/11/2020",25,11,2020,744,19,"Albania",2862427,"Europe"
"355","24/11/2020",24,11,2020,795,17,"Albania",2862427,"Europe"
